chrome_twohand_sword | 鉻合金雙手巨劍 | weapon
imperial_crimson_robe | 帝國碧血隕石長袍 [1] | armor
imperial_frost_robe | 帝國凍僵術長袍 [1] | armor
noblesse_snovice_suit | 貴族超級初學者戰袍 [1] | armor
noblesse_snovice_robe | 貴族超級初學者長袍 [1] | armor
imperial_snovice_suit | 帝國超級初學者戰袍 [1] | armor
imperial_snovice_robe | 帝國超級初學者長袍 [1] | armor
ep172_bh_spear | 盧克蘇里亞長矛 [2] | weapon
hb_b_t_spear | 符文騎士百矛龍息雙手矛 | weapon
adulter_f_lance | 虛偽信念騎士長矛 [2] | weapon
vivatus_f_lance | 活力信念騎士長矛 [2] | weapon
ep172_bh_staff | 普萊特斯通手杖 [2] | weapon
cs_b_staff | 大法師碧血地牛雙手杖 | weapon
cj_b_staff | 大法師凍僵連鎖電擊雙手杖 | weapon
adulter_f_t_staff | 虛偽信念雙手杖 [2] | weapon
adulter_f_rod | 虛偽信念魔杖 [2] | weapon
vivatus_f_t_staff | 活力信念雙手杖 [2] | weapon
vivatus_f_rod | 活力信念魔杖 [2] | weapon
witchsbroomstick | 女巫掃帚 [2] | weapon
glacier_b_sword | 冰晶初階長劍 | weapon
cannon_rapier_ad | 加農刺劍-OS-AD [2] | weapon
d_glacier_sword | 黯淡冰晶長劍 [1] | weapon
d_glacier_b_sword | 黯淡冰晶初階長劍 [1] | weapon
hs_cr_sword | 希羅斯里亞十字軍長劍 | weapon
hs_cr_guardian_sword | 希羅斯里亞守護者長劍 | weapon
hs_nv_sword | 希羅斯里亞初階長劍 | weapon
d_glacier_spear | 黯淡冰晶長矛 [1] | weapon
hs_cr_spear | 希羅斯里亞長矛 | weapon
glacier_book | 冰晶之書 | weapon
circuit_board_ad | 殺人電路板-OS-AD [2] | weapon
d_glacier_book | 黯淡冰晶之書 [1] | weapon
hs_sa_elemental_book | 希羅斯里亞元素之書 | weapon
hs_sa_book | 希羅斯里亞魔法之書 | weapon
hs_pr_bible | 希羅斯里亞惡靈之書 | weapon
hs_sg_star_book | 希羅斯里亞神聖之書 | weapon
hs_sg_gladiator_book | 希羅斯里亞戰術之書 | weapon
hs_sg_book | 希羅斯里亞拳法之書 | weapon
glacier_wand | 冰晶法杖 | weapon
rutilus_stick_ad | 紅魔鬼法杖-OS-AD [2] | weapon
d_glacier_wand | 黯淡冰晶法杖 [1] | weapon
hs_wz_wand | 希羅斯里亞巫師魔杖 | weapon
hs_sa_wand | 希羅斯里亞咒術魔杖 | weapon
hs_pr_holy_wand | 希羅斯里亞神聖魔杖 | weapon
hs_pr_wand | 希羅斯里亞言靈魔杖 | weapon
hs_nv_rod | 希羅斯里亞初階手杖 | weapon
hs_nv_wand | 希羅斯里亞初階魔杖 | weapon
hs_dc_rope | 希羅斯里亞皮鞭 | weapon
hs_dc_whip | 希羅斯里亞瑪哪鞭子 | weapon
meuchler_ad | 綠光拳刃-OS-AD [2] | weapon
hs_asc_katar | 希羅斯里亞卡塔勒拳刃 | weapon
hs_wz_magical_staff | 希羅斯里亞智慧魔杖 | weapon
claw_of_flash | 閃爍拳套 | weapon
fox_armguard | 狐紋護手 [1] | armor
wolf_armguard | 狼紋護手 [1] | armor
crescent_armguard | 月紋護手 [1] | armor
ur_greave | 烏魯茲符文護脛 [1] | armor
peuz_greave | 珀斯符文護脛 [1] | armor
ur_manteau | 烏魯茲符文斗篷 | armor
peuz_manteau | 珀斯符文斗篷 | armor
rune_circlet | 符文冠冕 [1] | armor
raksasa_dagger | 羅釵短劍 [1] | weapon
mikatsuki | 三日月 [1] | weapon
octo_kitchen_knife | 章魚料理廚刀 | weapon
dagger_of_evil_slayer | 刺殺魔神的短劍 [1] | weapon
ru_blue_ashura | 戰慄匕首 | weapon
cannon_rapier_os | 加農刺劍-OS [2] | weapon
ur_plate | 烏魯茲符文盔甲 | armor
ninja_scale_armor | 忍者鱗甲 [1] | armor
tenebris_latitantes | 霧中暗影 [1] | armor
armor_of_gray | 土色盔甲 [1] | armor
gray_robe | 土色外袍 [1] | armor
jupiter_armor_tw | 朱比特輕甲 [1] | armor
apollo_armor_tw | 阿波羅盔甲 [1] | armor
mars_armor_tw | 馬爾斯戰甲 [1] | armor
vinus_armor_tw | 維納斯羽甲 [1] | armor
mercury_suits | 墨丘利夜行衣 [1] | armor
hammer_of_evil_slayer | 破壞魔神的鋼斧 [1] | weapon
bow_of_evil_slayer | 擊穿魔神的弓 [1] | weapon
heavy_sword | 沉重的巨劍 [1] | weapon
tw_sword_of_evil_slayer | 割傷魔神的劍 [1] | weapon
beam_claymore_os | 綠光巨劍-OS [2] | weapon
volar | 絕地黑光劍 [2] | weapon
vernan | 絕地雙刃劍 [2] | weapon
g_knight_sword | 守護騎士十字巨劍 [2] | weapon
agenda_shoes_tw | 審判決議長靴 [1] | armor
dagger_of_infinite | 無限短劍 [1] | weapon
kuroiro_os | 暗黑白珠短劍-OS [2] | weapon
sharp_wind_sword | 銳風劍 [2] | weapon
fog_dew_sword | 霧露劍 [2] | weapon
cannon_converter_tw | 加農改造器 [1] | armor
item_2020maypay_05 | 潛能激發冒險帽 [1] | armor
hero_token_dk | 英雄吊墜(龍騎士) [1] | armor
record_mage2_tw | 思念體忿恨因子研究記錄(魔法師) [1] | armor
record_sward2_tw | 思念體忿恨因子研究錄(劍士) [1] | armor
record_merchant2_tw | 思念體忿恨因子研究記錄(商人) [1] | armor
record_thief2_tw | 思念體忿恨因子研究記錄(盜賊) [1] | armor
record_acolyte2_tw | 思念體忿恨因子研究記錄(服事) [1] | armor
record_acher2_tw | 思念體忿恨因子研究記錄(弓箭手) [1] | armor
up_fog_dew_sword | 神話霧露劍 [2] | weapon
dragonic_slayer | 古代龍紋巨劍 [2] | weapon
adulter_f_t_sword | 虛偽信念雙手巨劍 [2] | weapon
vivatus_f_t_sword | 活力信念雙手巨劍 [2] | weapon
glacier_sword | 冰晶長劍 | weapon
glacier_b_knife | 冰晶初階短劍 | weapon
kuroiro_ad | 暗黑白珠短劍-OS-AD [2] | weapon
hs_nj_dagger | 希羅斯里亞忍者短劍Ⅰ | weapon
glacier_axe | 冰晶斧 | weapon
d_glacier_axe | 黯淡冰晶斧 [1] | weapon
hs_bs_axe | 希羅斯里亞斧 | weapon
hs_mo_knuckle | 希羅斯里亞拳套 | weapon
hs_mo_claw | 希羅斯里亞龍爪拳套 | weapon
hs_mo_mace | 希羅斯里亞武道家鐵錘 | weapon
glacier_t_sword | 冰晶雙手巨劍 | weapon
beam_claymore_ad | 綠光巨劍-OS-AD [2] | weapon
d_glacier_t_sword | 黯淡冰晶雙手巨劍 [1] | weapon
hs_kn_zweihander | 羅斯里亞巨大雙手劍 | weapon
